Spoken form, Cursorless identifier

bottom, scrollToBottom
break point, toggleLineBreakpoint
bring, replaceWithTarget
call, callAsFunction
carve, cutToClipboard
center, scrollToCenter
change, clearAndSetSelection
chuck, remove
clone, insertCopyAfter
clone up, insertCopyBefore
comment, toggleLineComment
copy, copyToClipboard
crown, scrollToTop
dedent, outdentLine
define, revealDefinition
drink, editNewLineBefore
drop, insertEmptyLineBefore
extract, extractVariable
float, insertEmptyLineAfter
fold, foldRegion
follow, followLink
-format, applyFormatter
give, deselect
highlight, highlight
hover, showHover
indent, indentLine
inspect, showDebugHover
move, moveToTarget
paste, pasteFromClipboard
phones, nextHomophone
post, setSelectionAfter
pour, editNewLineAfter
pre, setSelectionBefore
puff, insertEmptyLinesAround
quick fix, showQuickFix
reference, showReferences
rename, rename
repack, rewrap
reverse, reverseTargets
scout, findInDocument
scout all, findInWorkspace
shuffle, randomizeTargets
snip, insertSnippet
snip make, generateSnippet
sort, sortTargets
swap, swapTargets
take, setSelection
type deaf, revealTypeDefinition
unfold, unfoldRegion
wrap, wrapWithPairedDelimiter


# 2023-12-06 12:17:16 - New entries automatically added by cursorless
join, joinLines

# 2023-12-08 12:44:55 - New entries automatically added by cursorless
break, breakLine

# 2024-02-22 18:50:04 - New entries automatically added by cursorless
decrement, decrement
increment, increment

# 2024-07-06 13:15:44 - New entries automatically added by cursorless
follow split, followLinkAside
