Spoken form, Cursorless identifier
link, link.text
general funk, functionDeclaration.body
comment form, comment-form.form
def funk, newFn.fnName
funk, use fn.fnName
lambda funk, lambda-funk.fnBody
hash funk threaded, hash-funk-threaded.fnBody
hash thread first, hash-thread-first.fnBody
hash thread last, hash-thread-last.fnBody
hash funk, hash-funk.fnName
thread first, thread-first.form
thread last, thread-last.form
set, set.form
debug, debug.form
debug nest, debug-nest.form
map destructure, map-destructure.mapName
map destructure no keys, map-destructure-no-keys.mapName
