Spoken form, Cursorless identifier
blue, blue
green, green
pink, pink
red, red
yellow, yellow


# 2023-06-23 03:19:35 - New entries automatically added by cursorless
fox, fox

# 2023-06-23 03:20:03 - New entries automatically added by cursorless
frame, frame

# 2023-06-23 03:20:37 - New entries automatically added by cursorless
wing, wing

# 2023-06-23 03:20:57 - New entries automatically added by cursorless
hole, hole

# 2023-06-23 03:21:05 - New entries automatically added by cursorless
curve, curve

# 2023-06-23 03:21:17 - New entries automatically added by cursorless
eye, eye

# 2023-06-23 03:21:23 - New entries automatically added by cursorless
play, play

# 2023-06-23 03:21:27 - New entries automatically added by cursorless
bolt, bolt

# 2023-06-23 03:21:29 - New entries automatically added by cursorless
cross, crosshairs

# 2023-06-23 03:21:37 - New entries automatically added by cursorless
ex, ex

# 2023-06-23 05:05:13 - New entries automatically added by cursorless
navy, userColor1
