Spoken form, Scope ID, Modifier kind

folks, parent, containing
page, page, containing
parent, parent, containing
top level, topLevel, containing

child, child, every
children, child, every
descendant, descendant, every
descendants, descendant, every
kid, child, every
kids, child, every
neighbor, sibling, every
neighbors, sibling, every
neighbour, sibling, every
neighbours, sibling, every
sibling, sibling, every
siblings, sibling, every
sub, descendant, every
subs, descendant, every

child, child, ordinal
kid, child, ordinal
sibling, sibling, ordinal
siblings, sibling, ordinal
