Spoken form, VSCode command

move back, paredit.dragSexprBackward
move back down, paredit.dragSexprBackwardDown
move back up, paredit.dragSexprBackwardUp
move forward, paredit.dragSexprForward
move forward up, paredit.dragSexprForwardUp
move forward down, paredit.dragSexprForwardDown

quad lisp wrap, paredit.wrapAroundQuote
round lisp wrap, paredit.wrapAroundParens
box lisp wrap, paredit.wrapAroundSquare
curly lisp wrap, paredit.wrapAroundCurly
quad lisp repack, paredit.rewrapQuote
round lisp repack, paredit.rewrapParens
box lisp repack, paredit.rewrapSquare
curly lisp repack, paredit.rewrapCurly
set repack, paredit.rewrapSet

barf back, paredit.barfSexpBackward
barf forward, paredit.barfSexpForward

force chuck back, paredit.forceDeleteBackward
force chuck forward, paredit.forceDeleteForward
chuck back, paredit.deleteBackward
chuck forward, paredit.deleteForward

kill right, paredit.killRight
kill left, paredit.killLeft

kill forward, paredit.killSexpForward
kill back, paredit.killSexpBackward

# kill list foreward, paredit.killListForward
kill list end, paredit.killListForward
# kill list back, paredit.killListBackward
kill list start, paredit.killListBackward

splice and kill back, paredit.spliceSexpKillBackward
splice and kill forward, paredit.spliceSexpKillForward
splice, paredit.spliceSexp

swap around cursor, paredit.transpose
convolute, paredit.convolute

raise expression, paredit.raiseSexp

split, paredit.splitSexp
join expressions, paredit.joinSexp

push, calva-fmt.tabIndent
pull, calva-fmt.tabDedent

evaluate top comment, calva.evaluateTopLevelFormAsComment
evaluate parent, calva.evaluateEnclosingForm
evaluate comment, calva.evaluateSelectionAsComment
evaluate from file start to, calva.evaluateStartOfFileToCursor
evaluate from start to, calva.evaluateToCursor
evaluate from top to, calva.evaluateTopLevelFormToCursor




